feature,importance
max_abs_corr_60d,0.07656045008938325
v1_max_60d,0.06076087719064683
volatility_20d,0.05892167827168133
eigenvalue_kurt_60d,0.040772766009310873
spectral_gap_60d,0.03949897682333552
eigenvalue_skew_60d,0.038677399875349676
mean_abs_corr_60d,0.03274289527619621
clustering_coef_t30_60d,0.030953315950192836
lambda_2_120d,0.029962186606337163
volatility_60d,0.02231981409486426
tail_eigenvalue_mean_120d,0.021507819235856936
lambda_2_60d,0.02034502339933213
clustering_coef_t50_60d,0.018049528957231317
v1_herfindahl_60d,0.017791411199772237
absorption_ratio_1_60d,0.01657079117320225
mp_excess_60d,0.01568332770433448
corr_std_60d,0.013318303848894993
lambda_1_60d,0.0131379782364725
lambda_1_ratio_60d,0.013007330072942627
lambda_2_ewm,0.011672893403984554
lambda_3_120d,0.011185729483608086
degree_std_t50_60d,0.011006948853715047
tail_eigenvalue_mean_ewm,0.010271624566805878
v1_entropy_60d,0.01018467773851006
degree_std_t70_60d,0.010124331398431078
corr_skew_60d,0.010038004240145339
edge_density_t50_60d,0.010030633316420335
loading_dispersion_60d,0.009952431965930222
v1_std_60d,0.008834141749489776
median_abs_corr_60d,0.007620888967235505
condition_number_120d,0.007601487857708707
return_60d,0.007499343909373193
degree_mean_t30_60d,0.007171897109211181
volatility_10d,0.007027471190598254
degree_std_t30_60d,0.007004775544237004
spectral_gap_ewm,0.006810659217909995
degree_mean_t50_60d,0.006646124837360991
eigenvalue_std_60d,0.006621727844220245
v1_min_60d,0.0064426117701303545
log_condition_number_120d,0.006370540510131367
frac_corr_above_50_60d,0.006318393627467361
lambda_3_60d,0.00624445679781487
n_edges_t30_60d,0.006199772813310202
effective_rank_ewm,0.005895257817626961
absorption_ratio_5_60d,0.005622180707723113
log_condition_number_ewm,0.005407988735508635
absorption_ratio_5_120d,0.005360466780098012
price_to_sma_50,0.0053521389847451094
eigenvalue_kurt_120d,0.005339101381749861
absorption_ratio_1_120d,0.005293324770723109
eigenvalue_std_ewm,0.0051877741527691455
n_edges_t50_60d,0.005119601232882745
effective_rank_120d,0.004982588061054935
lambda_3_ewm,0.004835979136395147
condition_number_ewm,0.004787072234997001
eigenvalue_skew_120d,0.004708251576450033
drawdown_60d,0.0046691451918976674
spectral_gap_120d,0.00455539810274629
absorption_ratio_3_120d,0.004496723979557851
eigenvalue_kurt_ewm,0.0044792978225182195
eigenvalue_entropy_120d,0.004451395225554407
edge_density_t30_60d,0.004368805437770595
mp_excess_ewm,0.004273741220898914
eigenvalue_skew_ewm,0.004243378621465296
lambda_1_120d,0.004216684628597355
effective_rank_ratio_120d,0.00398707322896009
kurtosis_60d,0.003665971883722839
effective_rank_ratio_60d,0.00355625568168165
mp_excess_120d,0.003522627170926111
frac_corr_above_70_60d,0.0034759236776272942
normalized_entropy_ewm,0.0032933380101191245
lambda_1_ratio_ewm,0.003286410687509795
eigenvalue_entropy_60d,0.003255367924281618
skewness_20d,0.003192854695724588
absorption_ratio_3_ewm,0.0031553430795202165
absorption_ratio_5_ewm,0.003131054730666856
condition_number_60d,0.0031074325488523865
eigenvalue_std_120d,0.0030895968336953615
n_components_t70_60d,0.0030404364694826677
absorption_ratio_1_ewm,0.003023512779121727
isolated_nodes_t70_60d,0.003003575477689549
fragmentation_t70_60d,0.0029897545754599517
normalized_entropy_120d,0.0028766320382825426
month,0.002752483749144016
log_condition_number_60d,0.0026752363860623636
absorption_ratio_3_60d,0.002664009406370069
kurtosis_20d,0.0026134630029568695
lambda_1_ratio_120d,0.0025308082350203763
centralization_t70_60d,0.002518482763494367
degree_max_t30_60d,0.002410716094132509
drawdown_20d,0.0023949050380055246
n_edges_t70_60d,0.0022882597438213083
clustering_coef_t70_60d,0.00217822034587103
lambda_1_ewm,0.002120021563010747
tail_eigenvalue_mean_60d,0.0020993462658221575
effective_rank_ratio_ewm,0.00193288537645481
centralization_t30_60d,0.001796735859419304
skewness_60d,0.001746792673870489
degree_mean_t70_60d,0.0017461354498459565
rsi_14,0.0017277168208601908
effective_rank_60d,0.0016048029630557543
volatility_5d,0.0012773271792876726
normalized_entropy_60d,0.001224351361064248
degree_max_t70_60d,0.0011797795184145803
return_10d,0.0011446981160267362
price_to_sma_20,0.0011188265595030202
return_5d,0.0011116538212187707
edge_density_t70_60d,0.0010379397418878973
vol_ratio_5_20,0.001017692628312311
return_20d,0.0009439719733886045
price_to_sma_10,0.000846110433234247
eigenvalue_entropy_ewm,0.0008077852980586226
degree_max_t50_60d,0.0006708519989182347
isolated_nodes_t50_60d,0.0004522057200898392
n_components_t50_60d,0.00043764934410257323
return_1d,0.0004004556697138101
fragmentation_t50_60d,0.0003907366248723159
centralization_t50_60d,0.0003625463460926934
day_of_week,1.1495902454137817e-05
isolated_nodes_t30_60d,0.0
fragmentation_t30_60d,0.0
n_components_t30_60d,0.0
