feature,importance
tail_eigenvalue_mean_120d,0.08403027882469404
degree_std_t30_60d,0.08007038771203888
loading_dispersion_60d,0.04784168674333481
v1_std_60d,0.045106049758440375
v1_herfindahl_60d,0.04473965676417186
v1_entropy_60d,0.043644058989731165
volatility_5d,0.0412668159928729
price_to_sma_50,0.04123456566227918
volatility_10d,0.037819912550039976
return_60d,0.03369880398011827
return_20d,0.031145461462244915
n_components_t50_60d,0.029100711145391003
fragmentation_t50_60d,0.024941166134993264
drawdown_60d,0.022577789513168335
rsi_14,0.020095553440825857
degree_std_t50_60d,0.01909981646941994
drawdown_20d,0.018164750115852682
volatility_20d,0.01587676107675267
degree_max_t30_60d,0.015491121972378953
log_condition_number_ewm,0.012241439265756063
spectral_gap_120d,0.011501774660593853
corr_skew_60d,0.009943959552701696
eigenvalue_kurt_120d,0.009395120695081496
condition_number_ewm,0.00916379285668207
clustering_coef_t50_60d,0.009076921049508664
max_abs_corr_60d,0.008808161602143478
skewness_60d,0.008241886628221357
lambda_2_120d,0.0075222266360597135
absorption_ratio_3_120d,0.007431985278619582
v1_max_60d,0.007387969593469359
degree_mean_t30_60d,0.007041609349969047
volatility_60d,0.006798652206723945
n_edges_t30_60d,0.00662848139903365
lambda_1_ratio_120d,0.00635700704220156
normalized_entropy_120d,0.006208909829835182
price_to_sma_20,0.006019602419068181
month,0.005941665844221722
v1_min_60d,0.005890536818928288
eigenvalue_skew_120d,0.005839073730540927
log_condition_number_60d,0.005803735066112629
eigenvalue_std_120d,0.005793418257526197
effective_rank_120d,0.00532130147279235
eigenvalue_entropy_120d,0.005229534624524253
isolated_nodes_t50_60d,0.004926958095018951
condition_number_60d,0.004872785264193546
log_condition_number_120d,0.0048320200518346635
edge_density_t30_60d,0.004528550345544322
eigenvalue_skew_60d,0.004517688277804368
degree_mean_t50_60d,0.004398091035616958
eigenvalue_kurt_60d,0.004172213215251852
mp_excess_120d,0.004163400629470598
return_10d,0.004159195110750908
effective_rank_ratio_120d,0.003906378192164647
absorption_ratio_1_120d,0.0036216719212322657
condition_number_120d,0.0035278269316300122
spectral_gap_60d,0.003502704401223838
frac_corr_above_70_60d,0.003314784599184959
n_edges_t50_60d,0.0032499469342064345
lambda_1_60d,0.0032119801446748347
absorption_ratio_5_120d,0.0031456679339463708
lambda_2_60d,0.003134158834685796
price_to_sma_10,0.0029047112367284514
return_5d,0.002837321127938551
kurtosis_60d,0.0027819053353178593
lambda_1_120d,0.0024768156173137785
lambda_3_60d,0.002225441799352996
skewness_20d,0.0021923180693189403
lambda_1_ratio_60d,0.0019378172527262556
lambda_3_120d,0.0018997899618662226
frac_corr_above_50_60d,0.0017531207967802613
edge_density_t70_60d,0.0017270254882315265
degree_mean_t70_60d,0.0016803907575049016
clustering_coef_t30_60d,0.0016084880410368123
normalized_entropy_60d,0.0014995039512458567
effective_rank_ratio_60d,0.0014713102228038832
mp_excess_60d,0.0014088411004544628
centralization_t70_60d,0.0012343429542695271
tail_eigenvalue_mean_ewm,0.0011300675315926213
isolated_nodes_t70_60d,0.0011251219434608559
absorption_ratio_3_60d,0.0011232240814226988
corr_std_60d,0.0010319073400717254
tail_eigenvalue_mean_60d,0.0009699123259522556
vol_ratio_5_20,0.000944218221399691
clustering_coef_t70_60d,0.0009394940038127969
eigenvalue_entropy_60d,0.0009347738576353404
eigenvalue_entropy_ewm,0.0008581247833440054
eigenvalue_std_60d,0.0007948231687067226
lambda_2_ewm,0.0007468069361745268
mean_abs_corr_60d,0.0007417641751137175
n_components_t70_60d,0.000741468510195453
eigenvalue_skew_ewm,0.0006880274799084933
fragmentation_t70_60d,0.0006774817910645422
absorption_ratio_3_ewm,0.0006592941143275455
degree_std_t70_60d,0.0006409026788503565
eigenvalue_kurt_ewm,0.00057104751454129
lambda_3_ewm,0.0005615535901294729
effective_rank_ratio_ewm,0.0004889749146679168
lambda_1_ratio_ewm,0.00048818443624493326
absorption_ratio_5_ewm,0.0004763881021460947
centralization_t50_60d,0.00043771024510531404
centralization_t30_60d,0.00040885505983328184
kurtosis_20d,0.00040452332578772764
edge_density_t50_60d,0.00037388774709519056
spectral_gap_ewm,0.00030061352475923723
return_1d,0.00030022657329024975
mp_excess_ewm,0.0002967378636715256
n_edges_t70_60d,0.00024635322778485027
effective_rank_ewm,0.00023217576453378266
effective_rank_60d,0.00022112417790171244
degree_max_t70_60d,0.00021617669818688835
median_abs_corr_60d,0.00019827784641662986
lambda_1_ewm,0.00018270892079823932
eigenvalue_std_ewm,0.0001318334844804771
absorption_ratio_1_ewm,0.00012666688737815305
absorption_ratio_5_60d,0.00010010336348710978
normalized_entropy_ewm,6.817071050162077e-05
absorption_ratio_1_60d,3.226311737899431e-05
day_of_week,1.7279305174381705e-05
degree_max_t50_60d,1.147083528165808e-05
isolated_nodes_t30_60d,0.0
fragmentation_t30_60d,0.0
n_components_t30_60d,0.0
