feature,importance
volatility_20d,0.0399999999999994
loading_dispersion_60d,0.039999999999999085
effective_rank_ratio_ewm,0.03666666666666584
mean_abs_corr_60d,0.02999999999999933
median_abs_corr_60d,0.029999999999999173
absorption_ratio_3_60d,0.029999999999998955
normalized_entropy_ewm,0.026666666666666505
absorption_ratio_1_ewm,0.02666666666666644
effective_rank_ratio_120d,0.026666666666666436
lambda_1_ewm,0.026666666666666342
normalized_entropy_120d,0.026666666666666207
mp_excess_ewm,0.02666666666666615
effective_rank_ewm,0.02666666666666607
lambda_1_ratio_60d,0.0266666666666659
eigenvalue_skew_120d,0.026666666666665673
effective_rank_120d,0.023333333333333265
mp_excess_60d,0.023333333333333022
eigenvalue_std_60d,0.023333333333332935
absorption_ratio_3_ewm,0.023333333333332776
absorption_ratio_3_120d,0.02333333333333271
eigenvalue_entropy_60d,0.023333333333332602
lambda_1_ratio_ewm,0.020000000000000382
effective_rank_ratio_60d,0.019999999999999938
skewness_60d,0.01999999999999987
eigenvalue_std_ewm,0.019999999999999803
lambda_1_ratio_120d,0.019999999999999803
absorption_ratio_1_60d,0.019999999999999508
eigenvalue_entropy_ewm,0.019999999999999414
eigenvalue_skew_ewm,0.016666666666667225
normalized_entropy_60d,0.016666666666666923
lambda_1_60d,0.01666666666666657
eigenvalue_std_120d,0.01666666666666645
v1_max_60d,0.016666666666666267
absorption_ratio_1_120d,0.016666666666666233
absorption_ratio_5_ewm,0.01666666666666615
eigenvalue_entropy_120d,0.016666666666666136
mp_excess_120d,0.016666666666666104
degree_mean_t30_60d,0.016666666666666
effective_rank_60d,0.013333333333333405
v1_entropy_60d,0.013333333333332963
lambda_1_120d,0.01000000000000011
v1_std_60d,0.01
v1_herfindahl_60d,0.006666666666667128
degree_mean_t50_60d,0.00666666666666696
n_edges_t30_60d,0.00666666666666683
edge_density_t30_60d,0.006666666666666744
degree_max_t50_60d,0.006666666666666733
corr_skew_60d,0.006666666666666668
eigenvalue_kurt_120d,0.006666666666666521
edge_density_t50_60d,0.003333333333333723
eigenvalue_kurt_ewm,0.0033333333333334346
n_edges_t70_60d,0.00333333333333343
frac_corr_above_50_60d,0.0033333333333333617
day_of_week,7.215276296788819e-16
kurtosis_60d,6.739448038117347e-16
degree_std_t50_60d,6.450121556630439e-16
month,6.001954547150814e-16
spectral_gap_60d,5.404093430945303e-16
log_condition_number_120d,5.245862394980668e-16
return_5d,4.767330621913194e-16
fragmentation_t70_60d,4.500549644933786e-16
v1_min_60d,4.304153818236545e-16
skewness_20d,4.219336643906663e-16
lambda_3_ewm,3.893410703745569e-16
lambda_2_120d,3.8185112410171184e-16
tail_eigenvalue_mean_ewm,3.811717870679268e-16
clustering_coef_t50_60d,3.717616020465272e-16
centralization_t30_60d,3.6006611483747874e-16
degree_std_t70_60d,3.5693293682486205e-16
condition_number_120d,3.431182812181827e-16
max_abs_corr_60d,3.3808701635054627e-16
degree_max_t70_60d,3.2614646661048447e-16
price_to_sma_10,3.0584949595455805e-16
clustering_coef_t30_60d,3.015366115316863e-16
tail_eigenvalue_mean_60d,2.8035288050597147e-16
return_1d,2.781198186255623e-16
return_10d,2.761779560777843e-16
n_components_t70_60d,2.3882170394265403e-16
edge_density_t70_60d,2.3420221406784294e-16
rsi_14,2.3305888692988913e-16
log_condition_number_60d,2.305778887752531e-16
volatility_60d,2.277024552044462e-16
lambda_2_ewm,2.1838181381442174e-16
price_to_sma_20,2.183408969621407e-16
n_components_t50_60d,2.024921116420695e-16
n_edges_t50_60d,2.0025518107723843e-16
volatility_5d,2.0011683552899865e-16
spectral_gap_ewm,1.9758708836118368e-16
price_to_sma_50,1.9019262394413064e-16
log_condition_number_ewm,1.8489882522261161e-16
degree_mean_t70_60d,1.8128643537400207e-16
kurtosis_20d,1.6244046104284148e-16
eigenvalue_kurt_60d,1.523722046881776e-16
frac_corr_above_70_60d,1.5161467780804884e-16
corr_std_60d,1.5104552219622367e-16
lambda_3_120d,1.5100849565472385e-16
centralization_t70_60d,1.4682475839642023e-16
lambda_3_60d,1.4454798666135418e-16
condition_number_60d,1.1091103955853556e-16
return_20d,1.0929959398403421e-16
condition_number_ewm,8.379963389870534e-17
return_60d,4.787948411292233e-17
clustering_coef_t70_60d,2.0218659434605578e-17
eigenvalue_skew_60d,9.250866382131282e-18
spectral_gap_120d,0.0
centralization_t50_60d,0.0
lambda_2_60d,0.0
tail_eigenvalue_mean_120d,0.0
isolated_nodes_t70_60d,0.0
drawdown_60d,0.0
drawdown_20d,0.0
fragmentation_t50_60d,0.0
isolated_nodes_t50_60d,0.0
isolated_nodes_t30_60d,0.0
fragmentation_t30_60d,0.0
vol_ratio_5_20,0.0
degree_std_t30_60d,0.0
absorption_ratio_5_60d,0.0
volatility_10d,0.0
n_components_t30_60d,0.0
absorption_ratio_5_120d,0.0
degree_max_t30_60d,0.0
