asset1,asset2,corr_leader,corr_follower,corr_lag,correlation,abs_correlation,leader_category,follower_category
EWA.US,INDA.US,INDA.US,EWA.US,1,-0.2196233210823365,0.2196233210823365,intl_developed,intl_emerging
EWZ.US,INDA.US,INDA.US,EWZ.US,1,-0.2014242305586212,0.2014242305586212,intl_emerging,intl_emerging
PEP.US,EWA.US,PEP.US,EWA.US,1,-0.19464193942570324,0.19464193942570324,consumer,intl_developed
XLU.US,EWC.US,EWC.US,XLU.US,2,0.18986528570101527,0.18986528570101527,sector_etfs,intl_developed
EWA.US,EWZ.US,EWZ.US,EWA.US,1,-0.18862223186317956,0.18862223186317956,intl_developed,intl_emerging
MSFT.US,EWC.US,EWC.US,MSFT.US,1,-0.18796716399698718,0.18796716399698718,tech_mega,intl_developed
MSFT.US,DIA.US,DIA.US,MSFT.US,1,-0.18681498458156703,0.18681498458156703,tech_mega,broad_market
XLP.US,EWA.US,XLP.US,EWA.US,1,-0.1867099703354025,0.1867099703354025,sector_etfs,intl_developed
MSFT.US,XLF.US,XLF.US,MSFT.US,1,-0.18438658907875372,0.18438658907875372,tech_mega,sector_etfs
MSFT.US,INDA.US,INDA.US,MSFT.US,1,-0.18415115120434175,0.18415115120434175,tech_mega,intl_emerging
MSFT.US,EWA.US,EWA.US,MSFT.US,1,-0.18404440220464668,0.18404440220464668,tech_mega,intl_developed
INDA.US,VWO.US,VWO.US,INDA.US,1,-0.18242874041096382,0.18242874041096382,intl_emerging,intl_emerging
EWC.US,EMB.US,EMB.US,EWC.US,3,0.1814922582789475,0.1814922582789475,intl_developed,fixed_income
MSFT.US,SPY.US,SPY.US,MSFT.US,1,-0.17873509253868433,0.17873509253868433,tech_mega,broad_market
CVX.US,INDA.US,INDA.US,CVX.US,1,-0.17856421442446957,0.17856421442446957,energy,intl_emerging
MSFT.US,VTI.US,VTI.US,MSFT.US,1,-0.1774982781702154,0.1774982781702154,tech_mega,broad_market
XLP.US,INDA.US,XLP.US,INDA.US,1,-0.17699078923176365,0.17699078923176365,sector_etfs,intl_emerging
LQD.US,EMB.US,EMB.US,LQD.US,1,0.17601263941802112,0.17601263941802112,fixed_income,fixed_income
MSFT.US,XLV.US,XLV.US,MSFT.US,1,-0.17524718856930618,0.17524718856930618,tech_mega,sector_etfs
XLU.US,LQD.US,LQD.US,XLU.US,2,0.1752251202421246,0.1752251202421246,sector_etfs,fixed_income
EWZ.US,VWO.US,EWZ.US,VWO.US,1,-0.17487772157052656,0.17487772157052656,intl_emerging,intl_emerging
EWG.US,EWU.US,EWG.US,EWU.US,2,0.1739806753200155,0.1739806753200155,intl_developed,intl_developed
EWU.US,EWQ.US,EWQ.US,EWU.US,2,0.17367846542138032,0.17367846542138032,intl_developed,intl_developed
XLU.US,INDA.US,INDA.US,XLU.US,2,0.17340738144638712,0.17340738144638712,sector_etfs,intl_emerging
XLV.US,INDA.US,XLV.US,INDA.US,1,-0.17316273476488178,0.17316273476488178,sector_etfs,intl_emerging
EWA.US,EWC.US,EWC.US,EWA.US,1,-0.1728651813397441,0.1728651813397441,intl_developed,intl_developed
INDA.US,DIA.US,DIA.US,INDA.US,1,-0.1727585402659792,0.1727585402659792,intl_emerging,broad_market
XLV.US,EWA.US,XLV.US,EWA.US,1,-0.17271239511606012,0.17271239511606012,sector_etfs,intl_developed
CVX.US,XLU.US,CVX.US,XLU.US,2,0.17271038955741214,0.17271038955741214,energy,sector_etfs
XLF.US,INDA.US,XLF.US,INDA.US,1,-0.17267423456787087,0.17267423456787087,sector_etfs,intl_emerging
JPM.US,XLU.US,JPM.US,XLU.US,2,0.17247571558008884,0.17247571558008884,finance,sector_etfs
PEP.US,EWZ.US,PEP.US,EWZ.US,1,-0.1722181437497943,0.1722181437497943,consumer,intl_emerging
EWA.US,VWO.US,VWO.US,EWA.US,1,-0.17152911693481923,0.17152911693481923,intl_developed,intl_emerging
MS.US,XLU.US,MS.US,XLU.US,2,0.1714876964514793,0.1714876964514793,finance,sector_etfs
MCD.US,INDA.US,INDA.US,MCD.US,1,-0.17054792863831925,0.17054792863831925,consumer,intl_emerging
INDA.US,SPY.US,SPY.US,INDA.US,1,-0.16916146644992797,0.16916146644992797,intl_emerging,broad_market
MS.US,PEP.US,MS.US,PEP.US,2,0.16841182467674698,0.16841182467674698,finance,consumer
XLK.US,EWA.US,EWA.US,XLK.US,1,-0.16837368017472076,0.16837368017472076,sector_etfs,intl_developed
XLP.US,EWZ.US,XLP.US,EWZ.US,1,-0.16808483462011026,0.16808483462011026,sector_etfs,intl_emerging
MSFT.US,CVX.US,CVX.US,MSFT.US,1,-0.16784911095433278,0.16784911095433278,tech_mega,energy
EWA.US,DIA.US,DIA.US,EWA.US,1,-0.16686656160880076,0.16686656160880076,intl_developed,broad_market
