groups,n_groups,n_features,auc
Correlation + Dynamics + Momentum + Topology,4,42,1.0
Eigenvalue + Momentum + Returns + Volatility,4,35,1.0
Correlation + CrossAsset + Drawdown + Momentum + Returns + Volatility,6,40,1.0
Dynamics + Momentum + Returns + Volatility,4,52,1.0
Correlation + Dynamics + Momentum + Returns + Volatility,5,58,1.0
CrossAsset + Dynamics + Momentum + Returns + Volatility,5,58,1.0
Correlation + CrossAsset + Dynamics + Momentum + Returns + Volatility,6,64,1.0
Drawdown + Dynamics + Momentum + Returns + Volatility,5,55,1.0
Correlation + Drawdown + Dynamics + Momentum + Returns + Volatility,6,61,1.0
Correlation + CrossAsset + Drawdown + Dynamics + Momentum + Returns + Volatility,7,67,1.0
Drawdown + Dynamics + Momentum + Topology + Volatility,5,52,1.0
CrossAsset + Returns + Topology + Volatility,4,26,1.0
Correlation + Drawdown + Eigenvalue + Momentum + Returns + Volatility,6,44,1.0
Drawdown + Dynamics + Eigenvalue + Returns + Topology + Volatility,6,60,1.0
Dynamics + Momentum + Topology,3,36,1.0
CrossAsset + Dynamics + Eigenvalue + Momentum + Returns + Volatility,6,68,1.0
Drawdown + Dynamics + Eigenvalue + Momentum + Returns + Volatility,6,65,1.0
CrossAsset + Dynamics + Momentum + Returns + TailRisk + Topology + Volatility,7,66,1.0
Correlation + Dynamics + Momentum + Returns + TailRisk + Topology + Volatility,7,66,1.0
Correlation + Dynamics + Momentum + Topology + Volatility,5,55,1.0
Drawdown + Dynamics + TailRisk,3,36,1.0
Correlation + CrossAsset + Momentum + Returns + Volatility,5,37,1.0
CrossAsset + Momentum + Returns + Volatility,4,31,1.0
Correlation + Momentum + Returns + Volatility,4,31,1.0
Dynamics + Eigenvalue + Momentum + Topology + Volatility,5,59,1.0
CrossAsset + Dynamics + Momentum + Returns,4,45,1.0
Correlation + Dynamics + Eigenvalue + Momentum + Topology + Volatility,6,65,1.0
Drawdown + Returns + Volatility,3,21,1.0
Correlation + Drawdown + Returns + Volatility,4,27,1.0
CrossAsset + Drawdown + Returns + Volatility,4,27,1.0
Dynamics + Returns + Volatility,3,45,1.0
Correlation + Dynamics + Returns + Volatility,4,51,1.0
Drawdown + Dynamics + Returns + Volatility,4,48,1.0
