Task,model,auc_roc,avg_precision,precision,recall,f1,is_ours
Large UP move 3d (>3%),CGECD (Ours),0.8230805218051639,0.19333388223513193,0.25217391304347825,0.32954545454545453,0.28571428571428575,True
Large UP move 3d (>3%),Logistic Regression,0.7750596658711217,0.20995846842507382,0.26229508196721313,0.36363636363636365,0.30476190476190484,False
Large UP move 3d (>3%),SVM,0.7912847146886526,0.13001794034968367,0.15053763440860216,0.6363636363636364,0.24347826086956523,False
Large UP move 3d (>3%),Gradient Boosting,0.7546173247993055,0.15011935510569638,0.16412213740458015,0.48863636363636365,0.2457142857142857,False
Large UP move 3d (>3%),Random Forest,0.8305557062269473,0.18833839275459507,0.22627737226277372,0.3522727272727273,0.27555555555555555,False
Large UP move 3d (>3%),Absorption Ratio,0.6066391842048167,0.08836494242008222,0.08388520971302428,0.4318181818181818,0.14048059149722733,False
Large UP move 3d (>3%),Turbulence Index,0.6141787806465611,0.11127171180314899,0.09973045822102426,0.42045454545454547,0.16122004357298475,False
Large UP move 3d (>3%),"GARCH(1,1)",0.7758122694727707,0.17586257021755544,0.20348837209302326,0.3977272727272727,0.2692307692307692,False
Large UP move 3d (>3%),HAR-RV,0.809428563679757,0.17855855963664444,0.22950819672131148,0.3181818181818182,0.26666666666666666,False
Large DOWN move 3d (>3%),CGECD (Ours),0.6960663778825328,0.0908739812635447,0.09621993127147767,0.5957446808510638,0.16568047337278108,True
Large DOWN move 3d (>3%),Logistic Regression,0.6028092750668875,0.08206350160149432,0.09956709956709957,0.48936170212765956,0.16546762589928057,False
Large DOWN move 3d (>3%),SVM,0.5630175818575615,0.0639170897751607,0.08620689655172414,0.2127659574468085,0.12269938650306747,False
Large DOWN move 3d (>3%),Gradient Boosting,0.515861893234807,0.07664093602995187,0.14,0.14893617021276595,0.1443298969072165,False
Large DOWN move 3d (>3%),Random Forest,0.6866097592049943,0.09340874515098327,0.09913043478260869,0.6063829787234043,0.17040358744394618,False
Large DOWN move 3d (>3%),Absorption Ratio,0.5952541725060516,0.06758325825014244,0.07516339869281045,0.7340425531914894,0.13636363636363635,False
Large DOWN move 3d (>3%),Turbulence Index,0.50696904064212,0.07636659661719518,0.08860759493670886,0.22340425531914893,0.12688821752265864,False
Large DOWN move 3d (>3%),"GARCH(1,1)",0.7027646833991592,0.13345549742024468,0.17575757575757575,0.30851063829787234,0.22393822393822396,False
Large DOWN move 3d (>3%),HAR-RV,0.7603707478659701,0.1374714927901024,0.14982578397212543,0.4574468085106383,0.22572178477690283,False
