model,auc_roc,avg_precision,precision,recall,f1,n_features,task,direction
CGECD-v2 GBT (Ours),0.6966381996216757,0.2666946476788517,0.2697095435684647,0.7558139534883721,0.39755351681957185,32,Up >3% in 10d,UP
CGECD-v2 RF (Ours),0.7043889785245354,0.28134185222524577,0.30933333333333335,0.6744186046511628,0.4241316270566728,32,Up >3% in 10d,UP
CGECD-v2 Ens40 (Ours),0.7029737398464448,0.2772471634851381,0.2857142857142857,0.7093023255813954,0.4073455759599332,32,Up >3% in 10d,UP
CGECD-v2 Ens30 (Ours),0.7062145321019249,0.27495432091778493,0.2659380692167577,0.8488372093023255,0.40499306518723993,32,Up >3% in 10d,UP
No-spectral GBT,0.6806410300785712,0.26715178259089284,0.2683982683982684,0.7167630057803468,0.39055118110236225,26,Up >3% in 10d,UP
No-spectral RF,0.6901249524073241,0.28155055792523737,0.29581151832460734,0.653179190751445,0.40720720720720727,26,Up >3% in 10d,UP
CGECD-v1 (206 feat),0.7468852124183009,0.3276299321666064,0.3185328185328185,0.859375,0.46478873239436624,206,Up >3% in 10d,UP
Traditional RF,0.697684399986155,0.2910265117597715,0.3027027027027027,0.6473988439306358,0.4125230202578269,27,Up >3% in 10d,UP
Turbulence RF,0.6433939349103306,0.3121445399711019,0.29107981220657275,0.6169154228855721,0.39553429027113235,5,Up >3% in 10d,UP
HAR-RV LR,0.6473789881993006,0.30573385285971155,0.2678983833718245,0.6590909090909091,0.38095238095238093,4,Up >3% in 10d,UP
SMA Vol LR,0.6286024257260487,0.28309880241588253,0.2613981762917933,0.5,0.343313373253493,9,Up >3% in 10d,UP
CGECD-v2 GBT (Ours),0.7368255601280292,0.15447563774246129,0.2708333333333333,0.3611111111111111,0.3095238095238095,32,Up >3% in 3d,UP
CGECD-v2 RF (Ours),0.8364911979881116,0.19169340321346823,0.27450980392156865,0.3888888888888889,0.3218390804597701,32,Up >3% in 3d,UP
CGECD-v2 Ens40 (Ours),0.7780921353452218,0.19088954662590946,0.3333333333333333,0.3333333333333333,0.3333333333333333,32,Up >3% in 3d,UP
CGECD-v2 Ens30 (Ours),0.7762345679012346,0.1887895206659619,0.3548387096774194,0.3055555555555556,0.3283582089552239,32,Up >3% in 3d,UP
